Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Ratings","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F2213CTTR-ND","RM10F2213CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 221K OHM 1% 1/8W 0805","160,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","221 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F4702CTTR-ND","RM10F4702CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 47K OHM 1% 1/8W 0805","155,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","47 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F2742CTTR-ND","RM10F2742CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 27.4K OHM 1% 1/8W 0805","130,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","27.4 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F6812CTTR-ND","RM10F6812CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 68.1K OHM 1% 1/8W 0805","125,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","68.1 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F1822CTTR-ND","RM10F1822CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 18.2K OHM 1% 1/8W 0805","125,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","18.2 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F6982CTTR-ND","RM10F6982CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 69.8K OHM 1% 1/8W 0805","125,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","69.8 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F3603CTTR-ND","RM10F3603CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 360K OHM 1% 1/8W 0805","125,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","360 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F8451CTTR-ND","RM10F8451CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 8.45K OHM 1% 1/8W 0805","125,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","8.45 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F1023CTTR-ND","RM10F1023CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 102K OHM 1% 1/8W 0805","120,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","102 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
"https://calchip.com/wp-content/uploads/2023/05/rm_series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4029/MFG_RM_series.jpg","2571-RM10F1053CTTR-ND","RM10F1053CT","Cal-Chip Electronics, Inc.","CAL-CHIP ELECTRONICS, INC.","RES SMD 105K OHM 1% 1/8W 0805","120,000","0.00278","0","5000","Tape & Reel (TR)","RM","Active","105 kOhms","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-"
